Rank,NOC,Gold,Silver,Bronze,Total,Year,Events_Participated,NA,ER,HE,Score,Score_Lag1,Score_Lag2,AP,Mundlak_ER,Mundlak_NM,Const
1,Germany,38,31,32,101,1936,0.0,0.0,0.0,0,208,58.0,48.0,106.0,0.15445707880571358,94.44444444444444,1
28,Germany,0,7,17,24,1952,0.0,0.0,0.0,0,31,208.0,58.0,266.0,0.15445707880571358,94.44444444444444,1
5,Germany,9,9,7,25,1968,166.0,499.0,0.43005181347150256,0,52,31.0,208.0,239.0,0.15445707880571358,94.44444444444444,1
8,Germany,5,11,10,26,1968,166.0,499.0,0.43005181347150256,0,47,52.0,31.0,83.0,0.15445707880571358,94.44444444444444,1
3,Germany,20,23,23,66,1972,189.0,721.0,0.4305239179954442,1,129,47.0,52.0,99.0,0.15445707880571358,94.44444444444444,1
4,Germany,13,11,16,40,1972,189.0,721.0,0.4305239179954442,1,77,129.0,47.0,176.0,0.15445707880571358,94.44444444444444,1
2,Germany,40,25,25,90,1976,187.0,557.0,0.42117117117117114,0,195,77.0,129.0,206.0,0.15445707880571358,94.44444444444444,1
4,Germany,10,12,17,39,1976,187.0,557.0,0.42117117117117114,0,71,195.0,77.0,272.0,0.15445707880571358,94.44444444444444,1
2,Germany,47,37,42,126,1980,167.0,346.0,0.36784140969163,0,257,71.0,195.0,266.0,0.15445707880571358,94.44444444444444,1
3,Germany,17,19,23,59,1984,194.0,389.0,0.3943089430894309,0,112,257.0,71.0,328.0,0.15445707880571358,94.44444444444444,1
2,Germany,37,35,30,102,1988,223.0,605.0,0.42234848484848486,0,211,112.0,257.0,369.0,0.15445707880571358,94.44444444444444,1
5,Germany,11,14,15,40,1988,223.0,605.0,0.42234848484848486,0,76,211.0,112.0,323.0,0.15445707880571358,94.44444444444444,1
3,Germany,33,21,28,82,1992,0.0,0.0,0.0,0,169,76.0,211.0,287.0,0.15445707880571358,94.44444444444444,1
3,Germany,20,18,27,65,1996,0.0,0.0,0.0,0,123,169.0,76.0,245.0,0.15445707880571358,94.44444444444444,1
5,Germany,13,17,26,56,2000,0.0,0.0,0.0,0,99,123.0,169.0,292.0,0.15445707880571358,94.44444444444444,1
6,Germany,13,16,20,49,2004,0.0,0.0,0.0,0,91,99.0,123.0,222.0,0.15445707880571358,94.44444444444444,1
5,Germany,16,11,14,41,2008,0.0,0.0,0.0,0,84,91.0,99.0,190.0,0.15445707880571358,94.44444444444444,1
6,Germany,11,20,13,44,2012,0.0,0.0,0.0,0,86,84.0,91.0,175.0,0.15445707880571358,94.44444444444444,1
5,Germany,17,10,15,42,2016,0.0,0.0,0.0,0,86,86.0,84.0,170.0,0.15445707880571358,94.44444444444444,1
9,Germany,10,11,16,37,2020,0.0,0.0,0.0,0,68,86.0,86.0,172.0,0.15445707880571358,94.44444444444444,1
10,Germany,12,13,8,33,2024,0.0,0.0,0.0,0,70,68.0,86.0,154.0,0.15445707880571358,94.44444444444444,1
35,Ghana,0,0,1,1,1964,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,1
43,Ghana,0,0,1,1,1972,0.0,0.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,1
54,Ghana,0,0,1,1,1992,0.0,0.0,0.0,0,1,1.0,1.0,2.0,0.0,1.0,1
86,Ghana,0,0,1,1,2020,0.0,0.0,0.0,0,1,1.0,1.0,2.0,0.0,1.0,1
2,Greece,10,18,19,47,1896,0.0,0.0,0.0,0,85,0.0,0.0,0.0,0.0,12.2,1
11,Greece,1,0,1,2,1904,0.0,0.0,0.0,0,4,85.0,0.0,85.0,0.0,12.2,1
15,Greece,0,3,1,4,1908,0.0,0.0,0.0,0,7,4.0,85.0,89.0,0.0,12.2,1
15,Greece,1,0,1,2,1912,0.0,0.0,0.0,0,4,7.0,4.0,11.0,0.0,12.2,1
19,Greece,0,1,0,1,1920,0.0,0.0,0.0,0,2,4.0,7.0,11.0,0.0,12.2,1
35,Greece,0,0,1,1,1956,0.0,0.0,0.0,0,1,2.0,4.0,6.0,0.0,12.2,1
42,Greece,0,0,1,1,1968,0.0,0.0,0.0,0,1,1.0,2.0,3.0,0.0,12.2,1
29,Greece,0,2,0,2,1972,0.0,0.0,0.0,0,4,1.0,1.0,2.0,0.0,12.2,1
22,Greece,1,0,2,3,1980,0.0,0.0,0.0,0,5,4.0,1.0,5.0,0.0,12.2,1
30,Greece,0,1,1,2,1984,0.0,0.0,0.0,0,3,5.0,4.0,9.0,0.0,12.2,1
46,Greece,0,0,1,1,1988,0.0,0.0,0.0,0,1,3.0,5.0,8.0,0.0,12.2,1
26,Greece,2,0,0,2,1992,0.0,0.0,0.0,0,6,1.0,3.0,4.0,0.0,12.2,1
16,Greece,4,4,0,8,1996,0.0,0.0,0.0,0,20,6.0,1.0,7.0,0.0,12.2,1
17,Greece,4,6,3,13,2000,0.0,0.0,0.0,0,27,20.0,6.0,26.0,0.0,12.2,1
15,Greece,6,6,4,16,2004,0.0,0.0,0.0,0,34,27.0,20.0,47.0,0.0,12.2,1
60,Greece,0,2,1,3,2008,0.0,0.0,0.0,0,5,34.0,27.0,61.0,0.0,12.2,1
77,Greece,0,0,2,2,2012,0.0,0.0,0.0,0,2,5.0,34.0,39.0,0.0,12.2,1
25,Greece,3,1,2,6,2016,0.0,0.0,0.0,0,13,2.0,5.0,7.0,0.0,12.2,1
36,Greece,2,1,1,4,2020,0.0,0.0,0.0,0,9,13.0,2.0,15.0,0.0,12.2,1
51,Greece,1,1,6,8,2024,0.0,0.0,0.0,0,11,9.0,13.0,22.0,0.0,12.2,1
50,Grenada,1,0,0,1,2012,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,2.0,1
69,Grenada,0,1,0,1,2016,0.0,0.0,0.0,0,2,3.0,0.0,3.0,0.0,2.0,1
86,Grenada,0,0,1,1,2020,0.0,0.0,0.0,0,1,2.0,3.0,5.0,0.0,2.0,1
80,Grenada,0,0,2,2,2024,0.0,0.0,0.0,0,2,1.0,2.0,3.0,0.0,2.0,1
70,Guatemala,0,1,0,1,2012,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,3.0,1
60,Guatemala,1,0,1,2,2024,0.0,0.0,0.0,0,4,2.0,0.0,2.0,0.0,3.0,1
49,Hong Kong,1,0,0,1,1996,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,4.8,1
65,Hong Kong,0,1,0,1,2004,0.0,0.0,0.0,0,2,3.0,0.0,3.0,0.0,4.8,1
79,Hong Kong,0,0,1,1,2012,0.0,0.0,0.0,0,1,2.0,3.0,5.0,0.0,4.8,1
49,Hong Kong,1,2,3,6,2020,0.0,0.0,0.0,0,10,1.0,2.0,3.0,0.0,4.8,1
37,Hong Kong,2,0,2,4,2024,0.0,0.0,0.0,0,8,10.0,1.0,11.0,0.0,4.8,1
6,Hungary,2,1,3,6,1896,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0,38.19230769230769,1
11,Hungary,1,2,2,5,1900,0.0,0.0,0.0,0,9,11.0,0.0,11.0,0.0,38.19230769230769,1
5,Hungary,2,1,1,4,1904,0.0,0.0,0.0,0,9,9.0,11.0,20.0,0.0,38.19230769230769,1
6,Hungary,3,4,2,9,1908,0.0,0.0,0.0,0,19,9.0,9.0,18.0,0.0,38.19230769230769,1
9,Hungary,3,2,3,8,1912,0.0,0.0,0.0,0,16,19.0,9.0,28.0,0.0,38.19230769230769,1
13,Hungary,2,3,4,9,1924,0.0,0.0,0.0,0,16,16.0,19.0,35.0,0.0,38.19230769230769,1
9,Hungary,4,5,0,9,1928,0.0,0.0,0.0,0,22,16.0,16.0,32.0,0.0,38.19230769230769,1
3,Hungary,10,1,5,16,1936,0.0,0.0,0.0,0,37,22.0,16.0,38.0,0.0,38.19230769230769,1
4,Hungary,10,5,12,27,1948,0.0,0.0,0.0,0,52,37.0,22.0,59.0,0.0,38.19230769230769,1
3,Hungary,16,10,16,42,1952,0.0,0.0,0.0,0,84,52.0,37.0,89.0,0.0,38.19230769230769,1
4,Hungary,9,10,7,26,1956,0.0,0.0,0.0,0,54,84.0,52.0,136.0,0.0,38.19230769230769,1
6,Hungary,10,7,5,22,1964,0.0,0.0,0.0,0,49,54.0,84.0,138.0,0.0,38.19230769230769,1
4,Hungary,10,10,12,32,1968,0.0,0.0,0.0,0,62,49.0,54.0,103.0,0.0,38.19230769230769,1
8,Hungary,6,13,16,35,1972,0.0,0.0,0.0,0,60,62.0,49.0,111.0,0.0,38.19230769230769,1
10,Hungary,4,5,13,22,1976,0.0,0.0,0.0,0,35,60.0,62.0,122.0,0.0,38.19230769230769,1
6,Hungary,7,10,15,32,1980,0.0,0.0,0.0,0,56,35.0,60.0,95.0,0.0,38.19230769230769,1
6,Hungary,11,6,6,23,1988,0.0,0.0,0.0,0,51,56.0,35.0,91.0,0.0,38.19230769230769,1
8,Hungary,11,12,7,30,1992,0.0,0.0,0.0,0,64,51.0,56.0,107.0,0.0,38.19230769230769,1
12,Hungary,7,4,10,21,1996,0.0,0.0,0.0,0,39,64.0,51.0,115.0,0.0,38.19230769230769,1
13,Hungary,8,6,3,17,2000,0.0,0.0,0.0,0,39,39.0,64.0,103.0,0.0,38.19230769230769,1
12,Hungary,8,6,3,17,2004,0.0,0.0,0.0,0,39,39.0,39.0,78.0,0.0,38.19230769230769,1
21,Hungary,3,5,2,10,2008,0.0,0.0,0.0,0,21,39.0,39.0,78.0,0.0,38.19230769230769,1
10,Hungary,8,4,6,18,2012,0.0,0.0,0.0,0,38,21.0,39.0,60.0,0.0,38.19230769230769,1
12,Hungary,8,3,4,15,2016,0.0,0.0,0.0,0,34,38.0,21.0,59.0,0.0,38.19230769230769,1
15,Hungary,6,7,7,20,2020,0.0,0.0,0.0,0,39,34.0,38.0,72.0,0.0,38.19230769230769,1
14,Hungary,6,7,6,19,2024,0.0,0.0,0.0,0,38,39.0,34.0,73.0,0.0,38.19230769230769,1
19,India,0,2,0,2,1900,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,3.6666666666666665,1
24,India,1,0,0,1,1928,0.0,0.0,0.0,0,3,4.0,0.0,4.0,0.0,3.6666666666666665,1
20,India,1,0,0,1,1936,0.0,0.0,0.0,0,3,3.0,4.0,7.0,0.0,3.6666666666666665,1
22,India,1,0,0,1,1948,0.0,0.0,0.0,0,3,3.0,3.0,6.0,0.0,3.6666666666666665,1
26,India,1,0,1,2,1952,0.0,0.0,0.0,0,4,3.0,3.0,6.0,0.0,3.6666666666666665,1
24,India,1,0,0,1,1956,0.0,0.0,0.0,0,3,4.0,3.0,7.0,0.0,3.6666666666666665,1
24,India,1,0,0,1,1964,0.0,0.0,0.0,0,3,3.0,4.0,7.0,0.0,3.6666666666666665,1
42,India,0,0,1,1,1968,0.0,0.0,0.0,0,1,3.0,3.0,6.0,0.0,3.6666666666666665,1
43,India,0,0,1,1,1972,0.0,0.0,0.0,0,1,1.0,3.0,4.0,0.0,3.6666666666666665,1
23,India,1,0,0,1,1980,0.0,0.0,0.0,0,3,1.0,1.0,2.0,0.0,3.6666666666666665,1
71,India,0,0,1,1,1996,0.0,0.0,0.0,0,1,3.0,1.0,4.0,0.0,3.6666666666666665,1
71,India,0,0,1,1,2000,0.0,0.0,0.0,0,1,1.0,3.0,4.0,0.0,3.6666666666666665,1
65,India,0,1,0,1,2004,0.0,0.0,0.0,0,2,1.0,1.0,2.0,0.0,3.6666666666666665,1
51,India,1,0,2,3,2008,0.0,0.0,0.0,0,5,2.0,1.0,3.0,0.0,3.6666666666666665,1
57,India,0,2,4,6,2012,0.0,0.0,0.0,0,8,5.0,2.0,7.0,0.0,3.6666666666666665,1
67,India,0,1,1,2,2016,0.0,0.0,0.0,0,3,8.0,5.0,13.0,0.0,3.6666666666666665,1
48,India,1,2,4,7,2020,0.0,0.0,0.0,0,11,3.0,8.0,11.0,0.0,3.6666666666666665,1
71,India,0,1,5,6,2024,0.0,0.0,0.0,0,7,11.0,3.0,14.0,0.0,3.6666666666666665,1
36,Indonesia,0,1,0,1,1988,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,7.4,1
24,Indonesia,2,2,1,5,1992,0.0,0.0,0.0,0,11,2.0,0.0,2.0,0.0,7.4,1
41,Indonesia,1,1,2,4,1996,0.0,0.0,0.0,0,7,11.0,2.0,13.0,0.0,7.4,1
38,Indonesia,1,3,2,6,2000,0.0,0.0,0.0,0,11,7.0,11.0,18.0,0.0,7.4,1
48,Indonesia,1,1,2,4,2004,0.0,0.0,0.0,0,7,11.0,7.0,18.0,0.0,7.4,1
40,Indonesia,1,1,4,6,2008,0.0,0.0,0.0,0,9,7.0,11.0,18.0,0.0,7.4,1
60,Indonesia,0,2,1,3,2012,0.0,0.0,0.0,0,5,9.0,7.0,16.0,0.0,7.4,1
46,Indonesia,1,2,0,3,2016,0.0,0.0,0.0,0,7,5.0,9.0,14.0,0.0,7.4,1
55,Indonesia,1,1,3,5,2020,0.0,0.0,0.0,0,8,7.0,5.0,12.0,0.0,7.4,1
39,Indonesia,2,0,1,3,2024,0.0,0.0,0.0,0,7,8.0,7.0,15.0,0.0,7.4,1
34,Iran,0,0,1,1,1948,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,9.764705882352942,1
30,Iran,0,3,4,7,1952,0.0,0.0,0.0,0,10,1.0,0.0,1.0,0.0,9.764705882352942,1
14,Iran,2,2,1,5,1956,0.0,0.0,0.0,0,11,10.0,1.0,11.0,0.0,9.764705882352942,1
34,Iran,0,0,2,2,1964,0.0,0.0,0.0,0,2,11.0,10.0,21.0,0.0,9.764705882352942,1
19,Iran,2,1,2,5,1968,0.0,0.0,0.0,0,10,2.0,11.0,13.0,0.0,9.764705882352942,1
28,Iran,0,2,1,3,1972,0.0,0.0,0.0,0,5,10.0,2.0,12.0,0.0,9.764705882352942,1
33,Iran,0,1,1,2,1976,0.0,0.0,0.0,0,3,5.0,10.0,15.0,0.0,9.764705882352942,1
36,Iran,0,1,0,1,1988,0.0,0.0,0.0,0,2,3.0,5.0,8.0,0.0,9.764705882352942,1
44,Iran,0,1,2,3,1992,0.0,0.0,0.0,0,4,2.0,3.0,5.0,0.0,9.764705882352942,1
43,Iran,1,1,1,3,1996,0.0,0.0,0.0,0,6,4.0,2.0,6.0,0.0,9.764705882352942,1
27,Iran,3,0,1,4,2000,0.0,0.0,0.0,0,10,6.0,4.0,10.0,0.0,9.764705882352942,1
29,Iran,2,2,2,6,2004,0.0,0.0,0.0,0,12,10.0,6.0,16.0,0.0,9.764705882352942,1
52,Iran,1,0,1,2,2008,0.0,0.0,0.0,0,4,12.0,10.0,22.0,0.0,9.764705882352942,1
12,Iran,7,5,1,13,2012,0.0,0.0,0.0,0,32,4.0,12.0,16.0,0.0,9.764705882352942,1
24,Iran,3,1,4,8,2016,0.0,0.0,0.0,0,15,32.0,4.0,36.0,0.0,9.764705882352942,1
27,Iran,3,2,2,7,2020,0.0,0.0,0.0,0,15,15.0,32.0,47.0,0.0,9.764705882352942,1
21,Iran,3,6,3,12,2024,0.0,0.0,0.0,0,24,15.0,15.0,30.0,0.0,9.764705882352942,1
24,Ireland,1,0,0,1,1928,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,5.428571428571429,1
34,Ireland,0,1,0,1,1952,0.0,0.0,0.0,0,2,3.0,0.0,3.0,0.0,5.428571428571429,1
21,Ireland,1,1,3,5,1956,0.0,0.0,0.0,0,8,2.0,3.0,5.0,0.0,5.428571428571429,1
35,Ireland,0,0,1,1,1964,0.0,0.0,0.0,0,1,8.0,2.0,10.0,0.0,5.428571428571429,1
31,Ireland,0,1,1,2,1980,0.0,0.0,0.0,0,3,1.0,8.0,9.0,0.0,5.428571428571429,1
33,Ireland,0,1,0,1,1984,0.0,0.0,0.0,0,2,3.0,1.0,4.0,0.0,5.428571428571429,1
32,Ireland,1,1,0,2,1992,0.0,0.0,0.0,0,5,2.0,3.0,5.0,0.0,5.428571428571429,1
28,Ireland,3,0,1,4,1996,0.0,0.0,0.0,0,10,5.0,2.0,7.0,0.0,5.428571428571429,1
64,Ireland,0,1,0,1,2000,0.0,0.0,0.0,0,2,10.0,5.0,15.0,0.0,5.428571428571429,1
64,Ireland,0,1,2,3,2008,0.0,0.0,0.0,0,4,2.0,10.0,12.0,0.0,5.428571428571429,1
41,Ireland,1,1,4,6,2012,0.0,0.0,0.0,0,9,4.0,2.0,6.0,0.0,5.428571428571429,1
63,Ireland,0,2,0,2,2016,0.0,0.0,0.0,0,4,9.0,4.0,13.0,0.0,5.428571428571429,1
39,Ireland,2,0,2,4,2020,0.0,0.0,0.0,0,8,4.0,9.0,13.0,0.0,5.428571428571429,1
19,Ireland,4,0,3,7,2024,0.0,0.0,0.0,0,15,8.0,4.0,12.0,0.0,5.428571428571429,1
48,Israel,0,1,1,2,1992,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,4.25,1
71,Israel,0,0,1,1,1996,0.0,0.0,0.0,0,1,3.0,0.0,3.0,0.0,4.25,1
71,Israel,0,0,1,1,2000,0.0,0.0,0.0,0,1,1.0,3.0,4.0,0.0,4.25,1
52,Israel,1,0,1,2,2004,0.0,0.0,0.0,0,4,1.0,1.0,2.0,0.0,4.25,1
82,Israel,0,0,1,1,2008,0.0,0.0,0.0,0,1,4.0,1.0,5.0,0.0,4.25,1
77,Israel,0,0,2,2,2016,0.0,0.0,0.0,0,2,1.0,4.0,5.0,0.0,4.25,1
39,Israel,2,0,2,4,2020,0.0,0.0,0.0,0,8,2.0,1.0,3.0,0.0,4.25,1
41,Israel,1,5,1,7,2024,0.0,0.0,0.0,0,14,8.0,2.0,10.0,0.0,4.25,1
8,Italy,3,2,0,5,1900,0.0,0.0,0.0,0,13,0.0,0.0,0.0,0.0,45.53846153846154,1
9,Italy,2,2,0,4,1908,0.0,0.0,0.0,0,10,13.0,0.0,13.0,0.0,45.53846153846154,1
11,Italy,3,1,2,6,1912,0.0,0.0,0.0,0,13,10.0,13.0,23.0,0.0,45.53846153846154,1
7,Italy,13,5,5,23,1920,0.0,0.0,0.0,0,54,13.0,10.0,23.0,0.0,45.53846153846154,1
5,Italy,8,3,5,16,1924,0.0,0.0,0.0,0,35,54.0,13.0,67.0,0.0,45.53846153846154,1
5,Italy,7,5,7,19,1928,0.0,0.0,0.0,0,38,35.0,54.0,89.0,0.0,45.53846153846154,1
4,Italy,9,13,5,27,1936,0.0,0.0,0.0,0,58,38.0,35.0,73.0,0.0,45.53846153846154,1
5,Italy,8,11,8,27,1948,0.0,0.0,0.0,0,54,58.0,38.0,96.0,0.0,45.53846153846154,1
5,Italy,8,9,4,21,1952,0.0,0.0,0.0,0,46,54.0,58.0,112.0,0.0,45.53846153846154,1
5,Italy,8,8,9,25,1956,0.0,0.0,0.0,0,49,46.0,54.0,100.0,0.0,45.53846153846154,1
5,Italy,10,10,7,27,1964,0.0,0.0,0.0,0,57,49.0,46.0,95.0,0.0,45.53846153846154,1
13,Italy,3,4,9,16,1968,0.0,0.0,0.0,0,26,57.0,49.0,106.0,0.0,45.53846153846154,1
10,Italy,5,3,10,18,1972,0.0,0.0,0.0,0,31,26.0,57.0,83.0,0.0,45.53846153846154,1
14,Italy,2,7,4,13,1976,0.0,0.0,0.0,0,24,31.0,26.0,57.0,0.0,45.53846153846154,1
5,Italy,8,3,4,15,1980,0.0,0.0,0.0,0,34,24.0,31.0,55.0,0.0,45.53846153846154,1
5,Italy,14,6,12,32,1984,0.0,0.0,0.0,0,66,34.0,24.0,58.0,0.0,45.53846153846154,1
10,Italy,6,4,4,14,1988,0.0,0.0,0.0,0,30,66.0,34.0,100.0,0.0,45.53846153846154,1
12,Italy,6,5,8,19,1992,0.0,0.0,0.0,0,36,30.0,66.0,96.0,0.0,45.53846153846154,1
6,Italy,13,10,12,35,1996,0.0,0.0,0.0,0,71,36.0,30.0,66.0,0.0,45.53846153846154,1
7,Italy,13,8,13,34,2000,0.0,0.0,0.0,0,68,71.0,36.0,107.0,0.0,45.53846153846154,1
8,Italy,10,11,11,32,2004,0.0,0.0,0.0,0,63,68.0,71.0,139.0,0.0,45.53846153846154,1
9,Italy,8,9,10,27,2008,0.0,0.0,0.0,0,52,63.0,68.0,131.0,0.0,45.53846153846154,1
9,Italy,8,9,11,28,2012,0.0,0.0,0.0,0,53,52.0,63.0,115.0,0.0,45.53846153846154,1
9,Italy,8,12,8,28,2016,0.0,0.0,0.0,0,56,53.0,52.0,105.0,0.0,45.53846153846154,1
10,Italy,10,10,20,40,2020,0.0,0.0,0.0,0,70,56.0,53.0,109.0,0.0,45.53846153846154,1
9,Italy,12,13,15,40,2024,0.0,0.0,0.0,0,77,70.0,56.0,126.0,0.0,45.53846153846154,1
33,Ivory Coast,0,1,0,1,1984,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.0,1
51,Ivory Coast,1,0,1,2,2016,0.0,0.0,0.0,0,4,2.0,0.0,2.0,0.0,2.0,1
86,Ivory Coast,0,0,1,1,2020,0.0,0.0,0.0,0,1,4.0,2.0,6.0,0.0,2.0,1
84,Ivory Coast,0,0,1,1,2024,0.0,0.0,0.0,0,1,1.0,4.0,5.0,0.0,2.0,1
17,JPN,0,2,0,2,1920,15.0,15.0,0.04132231404958678,0,4,0.0,0.0,0.0,0.24121964271457083,48.19047619047619,1
23,JPN,0,0,1,1,1924,21.0,19.0,0.07191780821917808,0,1,4.0,0.0,4.0,0.24121964271457083,48.19047619047619,1
15,JPN,2,2,1,5,1928,31.0,40.0,0.12301587301587301,0,11,1.0,4.0,5.0,0.24121964271457083,48.19047619047619,1
8,JPN,6,4,10,20,1936,79.0,220.0,0.26158940397350994,0,36,11.0,1.0,12.0,0.24121964271457083,48.19047619047619,1
17,JPN,1,6,2,9,1952,60.0,69.0,0.17751479289940827,0,17,36.0,11.0,47.0,0.24121964271457083,48.19047619047619,1
10,JPN,4,10,5,19,1956,72.0,112.0,0.21052631578947367,0,37,17.0,36.0,53.0,0.24121964271457083,48.19047619047619,1
3,JPN,16,5,8,29,1964,155.0,328.0,0.4189189189189189,0,66,37.0,17.0,54.0,0.24121964271457083,48.19047619047619,1
3,JPN,11,7,7,25,1968,97.0,171.0,0.25129533678756477,0,54,66.0,37.0,103.0,0.24121964271457083,48.19047619047619,1
5,JPN,13,8,8,29,1972,113.0,184.0,0.25740318906605925,0,63,54.0,66.0,120.0,0.24121964271457083,48.19047619047619,1
5,JPN,9,6,10,25,1976,119.0,213.0,0.268018018018018,0,49,63.0,54.0,117.0,0.24121964271457083,48.19047619047619,1
7,JPN,10,8,14,32,1984,147.0,226.0,0.29878048780487804,0,60,49.0,63.0,112.0,0.24121964271457083,48.19047619047619,1
14,JPN,4,3,7,14,1988,166.0,255.0,0.3143939393939394,0,25,60.0,49.0,109.0,0.24121964271457083,48.19047619047619,1
17,JPN,3,8,11,22,1992,166.0,256.0,0.28970331588132636,0,36,25.0,60.0,85.0,0.24121964271457083,48.19047619047619,1
23,JPN,3,6,5,14,1996,168.0,306.0,0.2781456953642384,0,26,36.0,25.0,61.0,0.24121964271457083,48.19047619047619,1
15,JPN,5,8,5,18,2000,156.0,266.0,0.23388305847076463,0,36,26.0,36.0,62.0,0.24121964271457083,48.19047619047619,1
5,JPN,16,9,12,37,2004,169.0,305.0,0.2526158445440957,0,78,36.0,26.0,62.0,0.24121964271457083,48.19047619047619,1
8,JPN,9,8,8,25,2008,176.0,332.0,0.26151560178306094,0,51,78.0,36.0,114.0,0.24121964271457083,48.19047619047619,1
11,JPN,7,14,17,38,2012,178.0,291.0,0.2656716417910448,0,66,51.0,78.0,129.0,0.24121964271457083,48.19047619047619,1
6,JPN,12,8,21,41,2016,186.0,335.0,0.2727272727272727,0,73,66.0,51.0,117.0,0.24121964271457083,48.19047619047619,1
3,JPN,27,14,17,58,2020,222.0,613.0,0.29172141918528255,1,126,73.0,66.0,139.0,0.24121964271457083,48.19047619047619,1
3,JPN,20,12,13,45,2024,166.0,430.0,0.22493224932249323,0,97,126.0,73.0,199.0,0.24121964271457083,48.19047619047619,1
20,Jamaica,1,2,0,3,1948,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,11.0,1
13,Jamaica,2,3,0,5,1952,0.0,0.0,0.0,0,12,7.0,0.0,7.0,0.0,11.0,1
39,Jamaica,0,1,0,1,1968,0.0,0.0,0.0,0,2,12.0,7.0,19.0,0.0,11.0,1
43,Jamaica,0,0,1,1,1972,0.0,0.0,0.0,0,1,2.0,12.0,14.0,0.0,11.0,1
21,Jamaica,1,1,0,2,1976,0.0,0.0,0.0,0,5,1.0,2.0,3.0,0.0,11.0,1
34,Jamaica,0,0,3,3,1980,0.0,0.0,0.0,0,3,5.0,1.0,6.0,0.0,11.0,1
28,Jamaica,0,1,2,3,1984,0.0,0.0,0.0,0,4,3.0,5.0,8.0,0.0,11.0,1
34,Jamaica,0,2,0,2,1988,0.0,0.0,0.0,0,4,4.0,3.0,7.0,0.0,11.0,1
38,Jamaica,0,3,1,4,1992,0.0,0.0,0.0,0,7,4.0,4.0,8.0,0.0,11.0,1
39,Jamaica,1,3,2,6,1996,0.0,0.0,0.0,0,11,7.0,4.0,11.0,0.0,11.0,1
54,Jamaica,0,6,3,9,2000,0.0,0.0,0.0,0,15,11.0,7.0,18.0,0.0,11.0,1
35,Jamaica,2,1,2,5,2004,0.0,0.0,0.0,0,10,15.0,11.0,26.0,0.0,11.0,1
15,Jamaica,5,4,2,11,2008,0.0,0.0,0.0,0,25,10.0,15.0,25.0,0.0,11.0,1
18,Jamaica,4,5,4,13,2012,0.0,0.0,0.0,0,26,25.0,10.0,35.0,0.0,11.0,1
16,Jamaica,6,3,2,11,2016,0.0,0.0,0.0,0,26,26.0,25.0,51.0,0.0,11.0,1
21,Jamaica,4,1,4,9,2020,0.0,0.0,0.0,0,18,26.0,26.0,52.0,0.0,11.0,1
44,Jamaica,1,3,2,6,2024,0.0,0.0,0.0,0,11,18.0,26.0,44.0,0.0,11.0,1
54,Jordan,1,0,0,1,2016,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,2.6666666666666665,1
74,Jordan,0,1,1,2,2020,0.0,0.0,0.0,0,3,3.0,0.0,3.0,0.0,2.6666666666666665,1
74,Jordan,0,1,0,1,2024,0.0,0.0,0.0,0,2,3.0,3.0,6.0,0.0,2.6666666666666665,1
24,Kazakhstan,3,4,4,11,1996,0.0,0.0,0.0,0,21,0.0,0.0,0.0,0.0,16.625,1
22,Kazakhstan,3,4,0,7,2000,0.0,0.0,0.0,0,17,21.0,0.0,21.0,0.0,16.625,1
40,Kazakhstan,1,4,3,8,2004,0.0,0.0,0.0,0,14,17.0,21.0,38.0,0.0,16.625,1
29,Kazakhstan,2,3,4,9,2008,0.0,0.0,0.0,0,16,14.0,17.0,31.0,0.0,16.625,1
23,Kazakhstan,3,2,6,11,2012,0.0,0.0,0.0,0,19,16.0,14.0,30.0,0.0,16.625,1
30,Kazakhstan,2,5,10,17,2016,0.0,0.0,0.0,0,26,19.0,16.0,35.0,0.0,16.625,1
83,Kazakhstan,0,0,8,8,2020,0.0,0.0,0.0,0,8,26.0,19.0,45.0,0.0,16.625,1
43,Kazakhstan,1,3,3,7,2024,0.0,0.0,0.0,0,12,8.0,26.0,34.0,0.0,16.625,1
35,Kenya,0,0,1,1,1964,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,17.571428571428573,1
14,Kenya,3,4,2,9,1968,0.0,0.0,0.0,0,19,1.0,0.0,1.0,0.0,17.571428571428573,1
19,Kenya,2,3,4,9,1972,0.0,0.0,0.0,0,16,19.0,1.0,20.0,0.0,17.571428571428573,1
23,Kenya,1,0,2,3,1984,0.0,0.0,0.0,0,5,16.0,19.0,35.0,0.0,17.571428571428573,1
